case,method,weight,region,pixels,mean_weight,change_L1,error_to_GT_L1
case5,texture_selective_h200,,strong_edge,2516583,0.240315,6.270488,15.163031
case5,texture_selective_h200,,textured_non_edge,323862,0.254686,1.520739,6.687310
case5,texture_selective_h200,,other,9742467,0.096927,0.513310,4.387697
case5,texture_weight_0.25_h200,0.25,strong_edge,2516583,0.240315,6.270488,15.163031
case5,texture_weight_0.25_h200,0.25,textured_non_edge,323862,0.250000,1.521057,6.683442
case5,texture_weight_0.25_h200,0.25,other,9742467,0.096927,0.513310,4.387697
case5,texture_weight_0.40_h200,0.40,strong_edge,2516583,0.240315,6.270488,15.163031
case5,texture_weight_0.40_h200,0.40,textured_non_edge,323862,0.400000,2.433692,6.555206
case5,texture_weight_0.40_h200,0.40,other,9742467,0.096927,0.513310,4.387697
case5,texture_weight_0.55_h200,0.55,strong_edge,2516583,0.240315,6.270488,15.163031
case5,texture_weight_0.55_h200,0.55,textured_non_edge,323862,0.550000,3.346326,6.549118
case5,texture_weight_0.55_h200,0.55,other,9742467,0.096927,0.513310,4.387697
case5,texture_weight_0.70_h200,0.70,strong_edge,2516583,0.240315,6.270488,15.163031
case5,texture_weight_0.70_h200,0.70,textured_non_edge,323862,0.700000,4.258961,6.663652
case5,texture_weight_0.70_h200,0.70,other,9742467,0.096927,0.513310,4.387697
case5,texture_weight_0.85_h200,0.85,strong_edge,2516583,0.240315,6.270488,15.163031
case5,texture_weight_0.85_h200,0.85,textured_non_edge,323862,0.850000,5.171595,6.894785
case5,texture_weight_0.85_h200,0.85,other,9742467,0.096927,0.513310,4.387697
case5,texture_weight_1.00_h200,1.00,strong_edge,2516583,0.240315,6.270488,15.163031
case5,texture_weight_1.00_h200,1.00,textured_non_edge,323862,1.000000,6.084229,7.231469
case5,texture_weight_1.00_h200,1.00,other,9742467,0.096927,0.513310,4.387697
