case,x0,y0,x1,y1,stratum,lq_gt_gradient_difference,psnr_lq,psnr_h50,psnr_h200,ssim_lq,ssim_h50,ssim_h200,lpips_lq,lpips_h50,lpips_h200
case4,3072,0,3328,256,low,8.026932,19.290045,19.343714,18.056206,0.504132,0.514533,0.491305,0.702257,0.627254,0.571429
case4,3328,0,3584,256,high,24.395523,14.375295,14.398034,13.152888,0.124820,0.127240,0.093323,0.907878,0.806673,0.628633
case4,3584,0,3840,256,high,20.602091,14.690401,14.729105,13.693340,0.164815,0.166679,0.124229,0.892116,0.775785,0.610411
case4,3840,0,4096,256,high,22.962280,14.472391,14.500146,12.815950,0.145825,0.144841,0.086232,0.913580,0.788737,0.563235
case4,0,256,256,512,mid,12.841608,18.982806,19.032039,18.865834,0.280487,0.279811,0.265351,0.831808,0.783966,0.674962
case4,256,256,512,512,mid,11.462778,20.077264,20.125519,19.906680,0.338042,0.338634,0.327200,0.799672,0.771275,0.724692
case4,512,256,768,512,low,7.563289,22.309652,22.378306,21.807014,0.470363,0.471043,0.432470,0.749382,0.734591,0.658066
case4,768,256,1024,512,low,8.424520,20.734399,20.811690,20.068460,0.392442,0.392349,0.353968,0.776555,0.765343,0.652301
case4,1024,256,1280,512,low,10.070888,19.132897,19.192108,18.166860,0.367599,0.369860,0.348551,0.784885,0.722343,0.606223
case4,1280,256,1536,512,mid,10.704306,19.315591,19.397809,18.150386,0.342064,0.341713,0.272376,0.814917,0.788800,0.613518
case4,1536,256,1792,512,high,13.843822,17.918245,17.937823,15.943889,0.244480,0.241724,0.162930,0.863694,0.844827,0.677993
case4,1792,256,2048,512,high,13.886566,17.702607,17.731406,16.135282,0.250388,0.250130,0.196476,0.825610,0.787767,0.640291
case4,2048,256,2304,512,mid,11.948689,17.997386,18.033998,16.997741,0.276615,0.277336,0.230929,0.801731,0.753972,0.584569
case4,2304,256,2560,512,mid,11.334955,19.145833,19.118604,17.305067,0.307830,0.303759,0.234968,0.826678,0.740766,0.592773
case4,2560,256,2816,512,high,15.157150,16.704546,16.701199,14.993125,0.239756,0.237736,0.159862,0.816672,0.729921,0.569193
case4,2816,256,3072,512,high,18.177094,15.967366,16.005344,14.742678,0.192329,0.189121,0.139470,0.894392,0.825152,0.604303
case4,3072,256,3328,512,high,14.222814,16.879991,16.942709,15.189805,0.291885,0.301966,0.273139,0.775483,0.661283,0.592641
case4,3328,256,3584,512,high,17.735149,15.779587,15.796309,13.698791,0.224339,0.225455,0.158142,0.809130,0.672467,0.531198
case4,3584,256,3840,512,high,20.230774,14.754507,14.741629,13.165287,0.181058,0.182385,0.121354,0.803513,0.675598,0.547604
case4,3840,256,4096,512,high,20.816305,14.664606,14.659533,13.032856,0.176893,0.175822,0.110477,0.815973,0.694729,0.509285
case4,0,512,256,768,low,9.445932,20.824651,20.875537,20.561739,0.398177,0.398820,0.382179,0.773123,0.746944,0.714632
case4,256,512,512,768,low,7.350047,21.920924,21.935252,21.598416,0.456132,0.456548,0.440264,0.746921,0.733097,0.706870
case4,512,512,768,768,low,8.268637,20.717522,20.749087,20.434885,0.407241,0.405676,0.378407,0.760480,0.724818,0.620581
case4,768,512,1024,768,low,9.569448,19.984363,20.014309,19.336949,0.346210,0.348344,0.329227,0.798155,0.737499,0.590544
case4,1024,512,1280,768,mid,11.713486,17.973247,18.019836,17.377584,0.283880,0.286345,0.269662,0.809922,0.752137,0.568171
case4,1280,512,1536,768,mid,11.322235,18.427027,18.444087,16.891910,0.328773,0.330246,0.286581,0.786265,0.713293,0.525333
