case,patch_id,stratum,x0,y0,x1,y1,lq_gt_gradient_difference,required_change_l1,generated_change_200_l1,improvement_200_l1,change_alignment_200,psnr_lq,psnr_h50,psnr_h200,lpips_lq,lpips_h50,lpips_h200,error_type,structure_preserved,new_object,plant_morphology,confidence,notes
case4,mid03,mid,2048,256,2304,512,8.68562126159668,25.261327743530273,11.816044807434082,-1.2253971099853516,0.06818751914484092,17.997386488183793,18.033997727050487,16.997741215871905,0.8016883730888367,0.753922164440155,0.5845522284507751,,,,,,
case4,mid04,mid,2816,1024,3072,1280,9.591470718383789,26.68568992614746,15.345118522644043,-3.6431121826171875,0.06262613350752375,17.363307543044343,17.385224259161813,15.766493962886802,0.8094062209129333,0.7296290397644043,0.5670866966247559,,,,,,
case4,mid05,mid,1280,1280,1536,1536,8.405552864074707,23.15398597717285,13.79283618927002,-3.21954345703125,0.009261813101737907,18.45160502446251,18.431277244550913,16.22068710445529,0.8339518308639526,0.7553523778915405,0.6158045530319214,,,,,,
case4,mid06,mid,1792,1536,2048,1792,7.816257476806641,19.594594955444336,11.382847785949707,-2.4734039306640625,0.04200111152571604,19.638447806931477,19.691500845523233,17.938609095109616,0.8044094443321228,0.7250573635101318,0.48494336009025574,,,,,,
case4,mid07,mid,2816,1536,3072,1792,8.257804870605469,21.881790161132812,7.1740875244140625,0.2756805419921875,0.11916638760697668,18.376201877421728,18.46737821385934,18.081064330028806,0.770311176776886,0.7201560735702515,0.6554755568504333,,,,,,
case4,mid08,mid,512,1792,768,2048,9.634849548339844,31.7044734954834,19.72260093688965,-1.8217105865478516,0.06575878228750248,15.840970764899062,15.833253994232683,14.063267803579153,0.8155280351638794,0.6633944511413574,0.524005651473999,,,,,,
case4,high01,high,3584,256,3840,512,14.82525634765625,37.30642318725586,21.948776245117188,-5.618808746337891,0.03609188487074566,14.754506712108792,14.741628689671183,13.165286967368077,0.8035510182380676,0.6756535768508911,0.5476377010345459,,,,,,
case4,high02,high,3072,768,3328,1024,10.849990844726562,26.288305282592773,13.605586051940918,-2.1397552490234375,0.08496566761687874,17.313852080605752,17.387743131632657,16.189803278157488,0.7978448867797852,0.7274442911148071,0.567642867565155,,,,,,
case4,high03,high,3840,768,4096,1024,13.281131744384766,33.82248306274414,14.23296070098877,-2.4209213256835938,0.026639969913486633,15.73301740838897,15.738543468518673,14.843890308336041,0.8024201989173889,0.7092286944389343,0.5038232207298279,,,,,,
case4,high04,high,256,1280,512,1536,10.022004127502441,28.002716064453125,21.804391860961914,-5.926410675048828,0.028366063461449244,17.393994727088938,17.40003599438507,14.453894327329833,0.8175641298294067,0.7083520889282227,0.5560156106948853,,,,,,
case4,high05,high,3840,1536,4096,1792,10.355998992919922,24.420867919921875,21.024267196655273,-7.406255722045898,0.05677901997278231,17.926821054098234,17.957208714815838,15.476358768745875,0.8007668852806091,0.7137680053710938,0.5492998957633972,,,,,,
case4,high06,high,2560,1792,2816,2048,11.81309700012207,32.35329818725586,15.226231575012207,-2.7795562744140625,0.06070016539138559,16.03353172594254,16.070491414115338,14.75917136934382,0.8277628421783447,0.7825582027435303,0.7342128753662109,,,,,,
case4,high07,high,3840,1792,4096,2048,10.493721961975098,26.4222469329834,15.295796394348145,-3.318958282470703,0.05554458750625223,17.52247894250484,17.527967571194168,16.268070732058327,0.8348752856254578,0.7040567994117737,0.4723920524120331,,,,,,
case4,high08,high,2560,2048,2816,2304,11.754169464111328,30.640213012695312,13.30610179901123,-2.132831573486328,0.02901075884535229,16.30457556675306,16.314940739079805,15.16568630631248,0.8149498105049133,0.7529346942901611,0.617601215839386,,,,,,
case3,low01,low,768,0,1024,256,0.36232489347457886,0.8038330078125,3.2032878398895264,-2.5818583965301514,-0.03907482609681563,47.28483575765354,42.70025821994106,34.38499777262614,0.05181531608104706,0.12295994162559509,0.4901844561100006,,,,,,
