case,alpha,method,change_l1_vs_lq,PSNR,SSIM,LPIPS_1024
case3,0.4,blend_0.4,1.9581925868988037,34.17579281896862,0.9094712061046476,0.08185893297195435
case3,0.5,blend_0.5,2.51365327835083,33.251277203407945,0.895317114666892,0.09638608992099762
case3,0.6,blend_0.6,3.0694644451141357,32.3087258916709,0.8806334265504865,0.11103248596191406
case3,0.7,blend_0.7,3.5191497802734375,31.38604353640111,0.865079068856374,0.12606443464756012
case3,0.8,blend_0.8,4.077520847320557,30.4881087845183,0.8470275424961388,0.14107391238212585
case3,0.9,blend_0.9,4.623788833618164,29.630397560127385,0.8269195876518026,0.15603747963905334
case3,1.0,blend_1.0,5.027657508850098,28.865398205920037,0.8120966176183972,0.16997377574443817
case3,,H50,1.7313002347946167,34.68871254049464,0.9204121592601275,0.07422302663326263
case4,0.0,blend_0.0,0.0,18.056199318367533,0.30932260715082277,0.6543421149253845
case4,0.1,blend_0.1,1.3166800737380981,18.064588779035894,0.30906712896271765,0.597279965877533
case4,0.2,blend_0.2,2.6969804763793945,18.023512756055023,0.30576318188227813,0.534797728061676
case4,0.3,blend_0.3,4.0797576904296875,17.936718805859904,0.30099630203040734,0.48728621006011963
case4,0.4,blend_0.4,5.416163921356201,17.805910561737306,0.29554643001431063,0.4524082541465759
case4,0.5,blend_0.5,6.797234535217285,17.634900103887194,0.28960212505476135,0.4272269010543823
case4,0.6,blend_0.6,8.17833137512207,17.42888867477541,0.2836828232107225,0.40973588824272156
case4,0.7,blend_0.7,9.515028953552246,17.192435951032333,0.27742894862980555,0.39750564098358154
case4,0.8,blend_0.8,10.897515296936035,16.930901931043753,0.27093033275325756,0.38841021060943604
case4,0.9,blend_0.9,12.282950401306152,16.6500061024762,0.2641468810123703,0.3817463517189026
case4,1.0,blend_1.0,13.594494819641113,16.352438762978853,0.2576045334391771,0.3768332004547119
case4,,H50,2.9848690032958984,18.084599414285577,0.3103796623029394,0.5434802174568176
case5,0.0,blend_0.0,0.0,26.275636569082227,0.8643162517605201,0.12704414129257202
case5,0.1,blend_0.1,0.7847270369529724,26.841139390976213,0.8727821263997754,0.10740580409765244
case5,0.2,blend_0.2,1.684972882270813,27.25126401433222,0.8767836403698922,0.08579723536968231
case5,0.3,blend_0.3,2.5967822074890137,27.447375613605733,0.8761581392383438,0.06786099076271057
case5,0.4,blend_0.4,3.4181039333343506,27.40106041240455,0.8719265010036849,0.05541401728987694
case5,0.5,blend_0.5,4.328895568847656,27.116374788660423,0.8632453920685057,0.04829549789428711
case5,0.6,blend_0.6,5.239744186401367,26.640599367421967,0.8522295303845463,0.04642052575945854
case5,0.7,blend_0.7,6.06076192855835,26.029518853618686,0.8382059243971653,0.04882234334945679
case5,0.8,blend_0.8,6.972874641418457,25.33561848504718,0.8199249285988571,0.05446910113096237
case5,0.9,blend_0.9,7.87537145614624,24.604892796273276,0.7976286907277111,0.062312304973602295
case5,1.0,blend_1.0,8.65784740447998,23.875815580161888,0.7772490204069505,0.0715784952044487
case5,,H50,4.315542697906494,27.394757848489224,0.8831531384020046,0.04837080463767052
